"categoryQuestion_or","answer"
"ଯଦି ଆପଣ ଏହାକୁ ଭୁଲିଯାଆନ୍ତି ତେବେ କାରବାର ପାସୱାର୍ଡ (TPIN) କିପରି ପୁନ ener ନିର୍ମାଣ କରିବେ?","[""<p>ଲଗଇନ୍ ସ୍କ୍ରିନରେ, ଲଗଇନ୍ ସହାୟତା ବିକଳ୍ପ ବ୍ୟବହାର କରନ୍ତୁ | CIF ପ୍ରବେଶ କରନ୍ତୁ ଏବଂ ଦାଖଲ କରନ୍ତୁ | ଏକ ସୁରକ୍ଷା ମାପ ଭାବରେ, OTP ଆପଣଙ୍କ ପଞ୍ଜୀକୃତ ମୋବାଇଲକୁ SMS ମାଧ୍ୟମରେ ପଠାଯାଏ | OTP ପ୍ରବେଶ କରନ୍ତୁ ଏବଂ ଦାଖଲ କରନ୍ତୁ | ଆପଣଙ୍କର ନୂତନ TPIN ସୃଷ୍ଟି କରନ୍ତୁ | ବର୍ତ୍ତମାନ ଆପଣ ଏହି ନୂତନ TPIN କୁ କାରବାର ପାଇଁ ବ୍ୟବହାର କରିପାରିବେ |</p>""]"
"ଏକ UPI ଆପ୍ କ’ଣ?","[""<p>UPI ଆପ୍ସ ହେଉଛି ପ୍ରାଧିକୃତ BHIM UPI ପ୍ରଦାନକାରୀ | ଏହି ତାଲିକା NPCI ୱେବସାଇଟରେ ମଧ୍ୟ ଦେଖାଯାଇପାରିବ | ଆପଲ୍ ଆପ୍ ଷ୍ଟୋର୍ କିମ୍ବା ଗୁଗୁଲ୍ ପ୍ଲେ ଷ୍ଟୋରରୁ ଡାଉନଲୋଡ୍ ହୋଇଥିବା କେବଳ ବିଶ୍ୱସ୍ତ ଏବଂ ପ୍ରାଧିକୃତ UPI ଆପ୍ ବ୍ୟବହାର କରନ୍ତୁ |</p>""]"
"ଆଭ୍ୟନ୍ତରୀଣ MTSS ଟଙ୍କା ପଠାଇବା ମାଧ୍ୟମରେ ପୂର୍ଣ୍ଣ- KYC PPI ରେ ଲୋଡ୍ ହେବା ପାଇଁ ସର୍ବାଧିକ ପରିମାଣ କ’ଣ?","[""ବ୍ୟକ୍ତିଗତ ଅନ୍ତର୍ନିହିତ MTSS ଟଙ୍କା ପଠାଇବା ଠାରୁ କେବଳ 50,000 / - ପର୍ଯ୍ୟନ୍ତ ରାଶି ହିତାଧିକାରୀଙ୍କୁ ଦିଆଯାଇଥିବା ପୂର୍ଣ୍ଣ- KYC PPI ରେ ଲୋଡ୍ / ପୁନଃ  ଲୋଡ୍ କରିବାକୁ ଅନୁମତି ଦିଆଯିବ |  50,000 ରୁ ଅଧିକ ରାଶି ହିତାଧିକାରୀଙ୍କ ଏକ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ କ୍ରେଡିଟ୍ ଦ୍ୱାରା ପ୍ରଦାନ କରାଯିବ | କାରବାରର ସମ୍ପୂର୍ଣ୍ଣ ବିବରଣୀ ଯାଞ୍ଚ ପାଇଁ ରେକର୍ଡରେ ରଖାଯିବ |""]"
"ଯଦି ମୁଁ ମୋର ଟିକେଟ୍ ବାତିଲ୍ କରେ ତେବେ ମୁଁ କିପରି ଫେରସ୍ତ ପାଇ ପାରିବି?","[""<p>ଫେରସ୍ତ ବ୍ୟବସାୟୀଙ୍କ ବାତିଲ ନୀତି ଅନୁଯାୟୀ ଏବଂ ନିର୍ଦ୍ଧାରିତ ସମୟସୀମା ମଧ୍ୟରେ ପ୍ରକ୍ରିୟାକରଣ କରାଯିବ | ଅଧିକ ସୂଚନା ପାଇଁ ଦୟାକରି ଆପଣଙ୍କର ବ୍ୟବସାୟୀଙ୍କୁ ଅନୁସରଣ କରନ୍ତୁ | ମୂଳ ଦେୟ ଉତ୍ସକୁ ଫେରସ୍ତ କରାଯିବ, ଯେପରିକି ଡେବିଟ୍ କାର୍ଡ, କ୍ରେଡିଟ୍ କାର୍ଡ, କିମ୍ବା ନେଟ୍ ବ୍ୟାଙ୍କିଙ୍ଗ୍ | ମୋତେ ଆପଣଙ୍କର ବ୍ୟାଙ୍କ / ଅନୁଷ୍ଠାନର ନାମ ଜଣାନ୍ତୁ |</p>""]"
"ଜଣେ ଗ୍ରାହକ କେତେ ଦିନ ପର୍ଯ୍ୟନ୍ତ ‘ସର୍ବନିମ୍ନ-ସବିଶେଷ’ PPI / ୱାଲେଟ୍ ଧରି ପାରିବେ? ଧାର୍ଯ୍ୟ ସମୟ ସମାପ୍ତ ହେବା ପରେ ସନ୍ତୁଳନ ସହିତ କ’ଣ ହେବ?","[""<p>କେବଳ 24 ମାସ ପାଇଁ ଏକ ‘ସର୍ବନିମ୍ନ ବିବରଣୀ' PPI ରଖାଯାଇପାରିବ | 24 ମାସର ଏହି ଅବଧି ମଧ୍ୟରେ, ଏହାକୁ ଏକ ପୂର୍ଣ୍ଣ- KYC PPI ରେ ରୂପାନ୍ତର କରିବାକୁ ପଡିବ ଯାହା ବିଫଳ ହେବ, ଏହିପରି PPI ରେ ଆଉ କୌଣସି ଋଣ ଅନୁମତି ଦିଆଯିବ ନାହିଁ | ଯଦିଓ, ପୂର୍ଣ୍ଣ- KYC PPI ରେ ରୂପାନ୍ତରିତ ନହେବା ପର୍ଯ୍ୟନ୍ତ PPI ଧାରକକୁ ଉପଲବ୍ଧ ବାଲାନ୍ସ ବ୍ୟବହାର କରିବାକୁ ଅନୁମତି ଦିଆଯିବ |</p>""]"
"ଏକ ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ କିପରି ପ୍ରଦାନ କରିବେ?","[""ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ ଷ୍ଟେପ୍ 1 ପ୍ରଦାନ କରିବାକୁ ଦୟାକରି ଉପରୋକ୍ତ ପଦକ୍ଷେପଗୁଡିକ ସନ୍ଧାନ କରନ୍ତୁ ବ୍ୟାଙ୍କ  ଦ୍ୱାରା  ଦିଆଯାଇଥିବା ସମସ୍ତ ବିବରଣୀ ସହିତ DD ଫର୍ମ ପୂରଣ କରନ୍ତୁ | ଷ୍ଟେପ୍ 2 ନଗଦ ମାଧ୍ୟମରେ କିମ୍ବା ଆପଣଙ୍କ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟରୁ ଦେୟ ପ୍ରଦାନ କରନ୍ତୁ | ଷ୍ଟେପ୍ 3 ଡିଡି ଫର୍ମରେ ଉଲ୍ଲେଖ କରାଯାଇଥିବା ସମସ୍ତ ବିବରଣୀ ଯାଞ୍ଚ କରେ ଷ୍ଟେପ୍ 4 ସଫଳ ଯାଞ୍ଚ ଏବଂ ଟଙ୍କା ପାଇବା ପରେ ବ୍ୟାଙ୍କ ଆବେଦନକାରୀଙ୍କୁ ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ ପ୍ରଦାନ କରେ ଷ୍ଟେପ୍ 5 ଆବେଦନକାରୀଙ୍କୁ ଏହି DD ଦାଖଲକାରୀଙ୍କ ନିକଟରେ ଦାଖଲ କରିବାକୁ ପଡିବ ଏବଂ କାରବାର ସଂପୂର୍ଣ୍ଣ କରିବାକୁ ପଡିବ |""]"
"ଯଦି ଆପଣ ଏହାକୁ ଭୁଲିଯାଆନ୍ତି ତେବେ ଉପଭୋକ୍ତା ID କିପରି ପୁନ ener ନିର୍ମାଣ କରିବେ?","[""<p>ଲଗଇନ୍ ସ୍କ୍ରିନରେ, ଲଗଇନ୍ ସହାୟତା ବିକଳ୍ପ ବ୍ୟବହାର କରନ୍ତୁ | CIF ପ୍ରବେଶ କରନ୍ତୁ ଏବଂ ଦାଖଲ କରନ୍ତୁ | ଏକ ସୁରକ୍ଷା ମାପ ଭାବରେ, OTP ଆପଣଙ୍କ ପଞ୍ଜୀକୃତ ମୋବାଇଲକୁ SMS ମାଧ୍ୟମରେ ପଠାଯାଏ | OTP ପ୍ରବେଶ କରନ୍ତୁ ଏବଂ ଦାଖଲ କରନ୍ତୁ | ଆପଣଙ୍କର ନୂତନ ବ୍ୟବହାରକାରୀ ID ସୃଷ୍ଟି କରନ୍ତୁ | ବର୍ତ୍ତମାନ ଆପଣ ସେଣ୍ଟ ମୋବାଇଲ୍ କୁ ଲଗଇନ୍ ପାଇଁ ଏହି ନୂତନ ୟୁଜର୍ ID ବ୍ୟବହାର କରିପାରିବେ |</p>""]"
"EMV ର ଲାଭ କ’ଣ?","[""ନକଲି, ହଜିଯାଇଥିବା ଏବଂ ଚୋରି ହୋଇଥିବା କାର୍ଡରୁ କାର୍ଡ-ଉପସ୍ଥିତ କାର୍ଡ ଠକେଇରେ EMV ର ଲାଭ ହେଉଛି | EMV  ବିଶ୍ୱ  ର ଦେୟ ଭିତ୍ତିଭୂମି ସହିତ ପାରସ୍ପରିକ କାର୍ଯ୍ୟଦକ୍ଷତା ମଧ୍ୟ ପ୍ରଦାନ କରେ - EMV ଚିପ୍ ପେମେଣ୍ଟ କାର୍ଡ ଥିବା ଗ୍ରାହକମାନେ ଯେକୌଣସି EMV- ସୁସଙ୍ଗତ ପେମେଣ୍ଟ ଟର୍ମିନାଲରେ ସେମାନଙ୍କ କାର୍ଡ ବ୍ୟବହାର କରିପାରିବେ |""]"
"ଏକ ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ କିପରି ବାତିଲ୍ କରିବେ?","[""<p>ଯେହେତୁ ଆପଣ ସିଧାସଳଖ DD ପ୍ରଦାନ କରିନାହାଁନ୍ତି, ଆପଣ ନିଜେ ଏକ DD ବାତିଲ୍ କରିପାରିବେ ନାହିଁ | ଯଦି ଆପଣ କ୍ଲିୟର ହୋଇନାହାଁନ୍ତି ତେବେ ଏକ ଡିଡି ବାତିଲ କରିବା ପାଇଁ ଆପଣଙ୍କୁ ପ୍ରଦାନକାରୀ ବ୍ୟାଙ୍କ ପରିଦର୍ଶନ କରିବାକୁ ଏବଂ ପଦ୍ଧତି ଅନୁସରଣ କରିବାକୁ ପଡିବ | ଯଦି ଆପଣ ନଗଦ ଅର୍ଥ ଦେଇଥା'ନ୍ତି, ତେବେ DD ରଦ୍ଦ ପାଇଁ ଅନୁରୋଧ କରିବା ପାଇଁ ଆପଣଙ୍କୁ ମୂଳ DD, ନଗଦ ଦେୟ ରସିଦ ଏବଂ DD ବାତିଲ ଫର୍ମ ଦାଖଲ କରିବାକୁ ପଡିବ | ବ୍ୟାଙ୍କ ଦ୍ୱାରା ଆଦାୟ ହୋଇଥିବା ବାତିଲ ଶୁଳ୍କ ରିହାତି ପରେ ଆପଣ ଏକ ଫେରସ୍ତ ପାଇବେ | ଯଦି ତୁମେ ତୁମର ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ବ୍ୟବହାର କରି ପେମେଣ୍ଟ କରିଛ, ତୁମେ ମୂଳ DD ଏବଂ ବାତିଲ ଫର୍ମ ଦାଖଲ କରିପାରିବ | ବାତିଲ ଦେୟ କାଟିବା ପରେ ଏହି ରାଶି ଆପଣଙ୍କ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ ଫେରସ୍ତ ହେବ |</p>""]"
"ଏକ ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ କ’ଣ?","[""<p>ଏକ ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ସହିତ ତୁମେ ତୁମର ସମସ୍ତ ଅଂଶକୁ ଶାରୀରିକ ହୋଲ୍ଡିଂରୁ ଇଲେକ୍ଟ୍ରୋନିକ୍ ୟୁନିଟ୍ ରେ ରୂପାନ୍ତର କରିପାରିବ | ଏହା ଆପଣଙ୍କୁ ଆପଣଙ୍କର ହୋଲ୍ଡିଂକୁ ପ୍ରବେଶ କରିବାକୁ ଏବଂ ଇଣ୍ଟରନେଟ୍ ବ୍ୟାଙ୍କିଙ୍ଗ୍ କିମ୍ବା ମୋବାଇଲ୍ ଆପ୍ ବ୍ୟବହାର କରି ଯେକୌଣସି ସ୍ଥାନରୁ କାରବାର କରିବାକୁ ସକ୍ଷମ କରିବ। ଏହା ମଧ୍ୟ ତୁମର ଇଲେକ୍ଟ୍ରୋନିକ୍ ସେୟାରଗୁଡିକର ଋଣ ପାଇବା ପାଇଁ ପ୍ରତିଶୃତି ଦେବାର ବିକଳ୍ପ ଦେଇଥାଏ |</p>""]"
"UPI ବ୍ୟବହାର କରିବାର ବୟସ ସୀମା କ’ଣ?","[""<p>15 ବର୍ଷରୁ କମ୍ ନାବାଳକ କିମ୍ବା ଯୁଗ୍ମ ଆକାଉଣ୍ଟଧାରୀ ନାବାଳକ UPI ପାଇଁ ଯୋଗ୍ୟ ନୁହଁନ୍ତି |</p>""]"
"BBPS ମାଧ୍ୟମରେ କରାଯାଇଥିବା ଦେୟ ପାଇଁ ମୁଁ କିପରି ଅଭିଯୋଗ ଉଠାଇବି?","[""<p>ବ୍ୟାଙ୍କ କିମ୍ବା ଅଣ ବ୍ୟାଙ୍କ ଆବେଦନ ଉପରେ ମୋବାଇଲ୍ ନମ୍ବର କିମ୍ବା କାରବାର ID ବ୍ୟବହାର କରି ଆପଣ ଅଭିଯୋଗ ଆରମ୍ଭ କରିପାରିବେ ଯେଉଁଠାରେ ବିଲ୍ ପେମେଣ୍ଟ ହୋଇସାରିଛି |</p>""]"
"ଯଦି ମୁଁ ମୋର ଚାହିଦା ଡ୍ରାଫ୍ଟ ହରାଇବି ତେବେ କ’ଣ ହେବ?","[""<p>ଯଦି ତୁମେ ତୁମର DD ହରାଉଛ, ତୁମକୁ ପ୍ରଦାନକାରୀ ବ୍ୟାଙ୍କ ପାଇଁ ଷ୍ଟାମ୍ପ ପେପରରେ ଏକ କ୍ଷତିପୂରଣ ବଣ୍ଡରେ ଦସ୍ତଖତ କରିବାକୁ ପଡିବ | ଯେତେବେଳେ ଆପଣ ବ୍ୟାଙ୍କ ପରିଦର୍ଶନ କରନ୍ତି ଏକ କପି ଉପସ୍ଥାପନ କରିବାକୁ ସହାୟକ ହୋଇପାରେ | ଦେୟ ପ୍ରକ୍ରିୟାକରଣ ପାଇଁ ବ୍ୟାଙ୍କ କିଛି ସମୟ ନେବ | କିଛି ବ୍ୟାଙ୍କ ହଜିଯାଇଥିବା ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ ପାଇଁ ଗୋଟିଏ ସପ୍ତାହରେ ଦେୟ ସଫା କରୁଥିବାବେଳେ ଅନ୍ୟମାନେ DD ର ସମାପ୍ତି ତାରିଖ ପର୍ଯ୍ୟନ୍ତ ଅପେକ୍ଷା କରନ୍ତି | ଯେକଣସି ପରିସ୍ଥିତିରେ, ସେମାନେ ଆପଣଙ୍କୁ ଫେରସ୍ତ ଫେରସ୍ତ ଦେବା ପୂର୍ବରୁ ଦେୟ କାଟିବେ |</p>""]"
"ସହ-ବ୍ରାଣ୍ଡେଡ୍ PPI ଗୁଡିକ ଦିଆଯାଇପାରିବ କି?","[""<p>ହଁ PPI ଏକାକୀ ଆଧାରରେ PPI ପ୍ରଦାନକାରୀ ଦ୍ୱାରା କିମ୍ବା ଅନ୍ୟ ସଂସ୍ଥା ସହିତ ସହ-ବ୍ରାଣ୍ଡେଡ୍ ଆଧାରରେ ପ୍ରଦାନ କରାଯାଇପାରିବ |</p>""]"
"","[null]"
"ମୁଁ ପାନ୍ କାର୍ଡ ବିନା ଏକ ଡିମାଟ୍ ଆକାଉଣ୍ଟ୍ ଖୋଲି ପାରିବି କି?","[""<p>ଦୁର୍ଭାଗ୍ୟବଶତ।, ପାନ୍ କାର୍ଡ ବିନା ଏକ ଡିମାଟ୍ ଆକାଉଣ୍ଟ୍ ସମ୍ଭବ ନୁହେଁ | ଏକ ଡିମାଟ୍ ଆକାଉଣ୍ଟ୍ ଖୋଲିବା ପାଇଁ SEBI ଏକ ପାନ୍ କାର୍ଡ ବାଧ୍ୟତାମୂଳକ କରିଛି | ଡିମାଟ୍ ଆକାଉଣ୍ଟ୍ ଖୋଲିବାବେଳେ ନିବେଶକ / ବ୍ୟବସାୟୀ ମୂଳ ପାନ୍ କାର୍ଡ ଦେଖାଇବା ଆବଶ୍ୟକ କରନ୍ତି |</p>""]"
"ଏକ ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟକୁ କିପରି ଏନକାଉଣ୍ଟର କରାଯିବ? '?","[""<p>ଆଉ ଏକ DD ଏନକାଉଣ୍ଟର କରିବା ସମ୍ଭବ ନୁହେଁ | ଜାଲିଆତି କାରବାରକୁ ଏଡାଇବା ପାଇଁ ବ୍ୟାଙ୍କଗୁଡିକ ନଗଦ ଟଙ୍କା ପ୍ରଦାନ ବନ୍ଦ କରି ଦେଇଛନ୍ତି। ଯଦି ତୁମେ ଦେୟକାରୀ, ଯେତେବେଳେ ତୁମର ବ୍ୟାଙ୍କ ଏକ DD ଗ୍ରହଣ କରେ, ସେମାନେ କେବଳ ତୁମର ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ ଦେୟ ଦେବେ | ସମାନ ବ୍ୟାଙ୍କରେ ଯଦି ଆପଣଙ୍କର ଏକ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ଅଛି ଯାହା DD ପ୍ରଦାନ କରେ, ଗୋଟିଏ ବ୍ୟବସାୟ ଦିନରେ ଦେୟ ସଫା ହୋଇଯିବ | ବ୍ୟାଙ୍କଗୁଡିକ ଭିନ୍ନ ହେଲେ ଏହା ତିନିଟି ବ୍ୟବସାୟ ଦିନ ନେଇପାରେ |</p>""]"
"TReDS ଓଲଟା ଫ୍ୟାକ୍ଟରିଂ ସହିତ ମୁକାବିଲା କରିପାରିବ କି?","[""<p>ହଁ TReDS ଉଭୟ ରିସିଭେବଲ୍ ଫ୍ୟାକ୍ଟରିଙ୍ଗ୍ ଏବଂ ରିଭର୍ସ ଫ୍ୟାକ୍ଟରିଙ୍ଗ୍ ସହିତ କାରବାର କରିପାରିବ |</p>""]"
"ଏକ PPI / ୱାଲେଟ୍ ସହିତ କ’ଣ ହେବ ଯାହା ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ସମୟ ପାଇଁ ବ୍ୟବହୃତ ହୁଏ ନାହିଁ?","[""<p>କ୍ରମାଗତ ଏକ ବର୍ଷ ପାଇଁ କୌଣସି ଆର୍ଥିକ କାରବାର ନଥିବା ଏକ PPI / ୱାଲେଟ୍ ନିଷ୍କ୍ରିୟ ଭାବରେ ଚିକିତ୍ସା କରାଯାଇପାରିବ ଏବଂ ଧାରକକୁ ସମାନ ବିଜ୍ଞପ୍ତି ପଠାଯିବ | ବୈଧ ତା ପରେ ଏବଂ ଏହାକୁ ପ୍ରଦାନକାରୀଙ୍କ ଦ୍ୱାରା ପ୍ରଯୁଜ୍ୟ ଯତ୍ନ ପରେ ଏହା ପୁନଃ ସକ୍ରିୟ ହୋଇପାରିବ |</p>""]"
"ସେବା ବ୍ୟବହାର କରିବାକୁ ଦେୟ କ’ଣ?","[""<p>ବ୍ୟବହାର ପାଇଁ Rs.0.50 କୌଣସି ରୋମିଂ ଚାର୍ଜ ଆଦାୟ କରାଯିବ ନାହିଁ </ p></p>""]"
"ମୁଁ କିପରି ଇଣ୍ଟରନେଟ୍ / ନେଟ୍ ବ୍ୟାଙ୍କିଂରେ ଲଗ୍ଇନ୍ କରିବି?","[""<p>ଯଦି ଆପଣ ପ୍ରଥମ ଥର ଲଗ୍ କରୁଛନ୍ତି ତେବେ ଆପଣଙ୍କର ନେଟ୍ ବ୍ୟାଙ୍କିଂକୁ ପ୍ରବେଶ କରିବା ପାଇଁ ଆପଣଙ୍କୁ ଏକ ପାସୱାର୍ଡ ସେଟ୍ ଅପ୍ କରିବାକୁ ପଡିବ | ବ୍ୟାଙ୍କର ନିର୍ଦ୍ଦେଶାବଳୀ ଅନୁଯାୟୀ ପାସୱାର୍ଡ ସେଟ୍ ହେବା ଜରୁରୀ | ଆପଣଙ୍କ ପାସୱାର୍ଡକୁ କୌଣସି ସହିତ ଅଂଶୀଦାର କରନ୍ତୁ ନାହିଁ | ବ୍ୟାଙ୍କ ଉପରେ ନିର୍ଭର କରି, ଆପଣଙ୍କୁ ଲଗଇନ୍ କରିବାକୁ ଏକ ୟୁଜର୍ ID / ୟୁଜର୍ ନାମ ସୃଷ୍ଟି / ଚୟନ କରିବାକୁ ମଧ୍ୟ କୁହାଯାଇପାରେ |</p>""]"
"ଏକ ଫ୍ୟାକ୍ଟରିଂ ୟୁନିଟ୍ (FU) କ’ଣ?","[""<p>ଏକ ଫ୍ୟାକ୍ଟରିଙ୍ଗ୍ ୟୁନିଟ୍ (FU) ହେଉଛି ଏକ ମାନକ ନାମକରଣ ଯାହା TREDS ରେ ଇନଭଏସ୍ (ଗୁଡିକ) କିମ୍ବା ବିଲ୍ (ଗୁଡିକ) ବିନିମୟ ପାଇଁ ବ୍ୟବହୃତ ହୁଏ | ପ୍ରତ୍ୟେକ FU ସରକାରୀ ବିଭାଗ ଏବଂ PSU ସହିତ କର୍ପୋରେଟ୍ କିମ୍ବା ଅନ୍ୟ କ୍ରେତାମାନଙ୍କର ଏକ ନିଶ୍ଚିତ ବାଧ୍ୟତାମୂଳକ ପ୍ରତିନିଧିତ୍ୱ କରେ |</p>""]"
"TReDS ରେ ଆର୍ଥିକ ଭାବରେ କିଏ ଅଂଶଗ୍ରହଣ କରିପାରିବ?","[""<p>ବ୍ୟାଙ୍କ, ଏନବିଏଫସି - ରିଜର୍ଭ ବ୍ୟାଙ୍କ ଅଫ୍ ଇଣ୍ଡିଆ (ଆରବିଆଇ) ଦ୍ୱାରା ଅନୁମତି ପ୍ରାପ୍ତ ଫ୍ୟାକ୍ଟର୍ ଏବଂ ଅନ୍ୟାନ୍ୟ ଆର୍ଥିକ ପ୍ରତିଷ୍ଠାନଗୁଡିକ TReDS ରେ ଆର୍ଥିକ ଭାବରେ ଅଂଶଗ୍ରହଣ କରିପାରିବେ |</p>""]"
"ଆୟକର କ’ଣ?","[""<p>ଏହା ପ୍ରତ୍ୟେକ ବ୍ୟକ୍ତିଙ୍କ ଆୟ ଉପରେ ଭାରତ ସରକାର ଆଦାୟ କରୁଥିବା ଟିକସ। ଆୟକର ନିୟନ୍ତ୍ରଣ କରୁଥିବା ବ୍ୟବସ୍ଥାଗୁଡ଼ିକ ଆୟକର A ରେ ଅନ୍ତର୍ଭୁକ୍ତ |</p>""]"
"ସେମି ବନ୍ଦ ସିଷ୍ଟମ୍ PPIs / ୱାଲେଟ୍ କ’ଣ?","[""<p>ଆରବିଆଇ ଅନୁମୋଦନ ପରେ ବ୍ୟାଙ୍କ ଏବଂ ଅଣ ବ୍ୟାଙ୍କ ଦ୍ୱାରା ସେମି ବନ୍ଦ ସିଷ୍ଟମ୍ ପିପିଏସ୍ ପ୍ରଦାନ କରାଯାଇଥାଏ | ଏହା ଚିହ୍ନିତ ବାଣିଜ୍ୟ ସ୍ଥାନ / ପ୍ରତିଷ୍ଠାନ / ଇ-କମ ସାଇଟଗୁଡିକର ଏକ ଗୋଷ୍ଠୀରେ ବ୍ୟବହାର ପାଇଁ ଆର୍ଥିକ ସେବା ସମେତ ସାମଗ୍ରୀ ଏବଂ ସେବା କ୍ରୟ ପାଇଁ ବ୍ୟବହାର କରାଯାଇପାରିବ | ଏହିପରି ୱାଲେଟ୍ ଧାରକମାନଙ୍କ ପାଇଁ ନଗଦ ଟଙ୍କା ସମ୍ପୂର୍ଣ୍ଣ KYC ସମାପ୍ତ କରିବା ପରେ ଅନୁମତି ଦିଆଯିବ |</p>""]"
"TReDS ରେ କ୍ରେତା ଭାବରେ କିଏ ଅଂଶଗ୍ରହଣ କରିପାରିବ?","[""<p>କର୍ପୋରେଟ୍, ସରକାରୀ ବିଭାଗ, PSU ଏବଂ ଅନ୍ୟ କୌଣସି ସଂସ୍ଥା TReDS ରେ କ୍ରେତା ଭାବରେ ଅଂଶଗ୍ରହଣ କରିପାରିବେ |</p>""]"
"TReDS ରେ ବିକ୍ରେତା ଭାବରେ କିଏ ଅଂଶଗ୍ରହଣ କରିପାରିବ?","[""<p>TREDS ରେ ବିକ୍ରେତା ଭାବରେ କେବଳ ମାଇକ୍ରୋ, କ୍ଷୁଦ୍ର ଏବଂ ମଧ୍ୟମ ଉଦ୍ୟୋଗଗୁଡିକ (MSMEs) ଅଂଶଗ୍ରହଣ କରିପାରିବେ |</p>""]"
"DBT ଅଧୀନରେ କେଉଁ ପ୍ରକାରର ସବସିଡି ଅନ୍ତର୍ଭୁକ୍ତ?","[""<p>ଏହିପରି ଯୋଜନାଗୁଡିକର ସମ୍ପୂର୍ଣ୍ଣ ତାଲିକା ଏଠାରେ <a href='https//dbtbharat.gov.in/scheme/dbtapplicablelist' target='_blank'> dbtbharat.gov.in </a> ରେ ଦେଖାଯାଇପାରିବ |</p>""]"
"ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ କିମ୍ବା DD କ’ଣ?","[""ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ ମଧ୍ୟ DD ନାମକ ଏକ ବ୍ୟାଙ୍କରୁ ଅନ୍ୟ ବ୍ୟାଙ୍କକୁ କାରବାର ଆରମ୍ଭ କରିବାର ଏକ ଉପାୟ | ଏହା ଏକ ବୁ able ାମଣାକାରୀ ଉପକରଣ ଯାହା ନିର୍ଦ୍ଦିଷ୍ଟ ଦେୟକାରୀଙ୍କୁ ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପରିମାଣର ଅର୍ଥ ପ୍ରଦାନର ଗ୍ୟାରେଣ୍ଟି ଦେଇଥାଏ | ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ କେବଳ ବ୍ୟାଙ୍କ ଦ୍ issued ାରା ପ୍ରଦାନ କରାଯାଇଥାଏ ଏବଂ ଜଣେ ବ୍ୟକ୍ତିଗତ ସ୍ତରରେ DD ପ୍ରଦାନ କରିପାରିବ ନାହିଁ | ଏହା ମୁଖ୍ୟତ cases ସେହି କ୍ଷେତ୍ରରେ ଦିଆଯାଏ ଯେଉଁଠାରେ ଦଳଗୁଡ଼ିକ ପରସ୍ପରକୁ ଅଜଣା | ନିର୍ଦ୍ଦିଷ୍ଟ ବ୍ୟକ୍ତି (ଦେୟକାରୀ) କୁ ନିର୍ଦ୍ଦିଷ୍ଟ ପରିମାଣର ଟଙ୍କା ଦେବାକୁ ବ୍ୟାଙ୍କ (ଡ୍ରୟର) ଏକ ଗ୍ରାହକ (ଡ୍ରୟର) କୁ ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ ପ୍ରଦାନ କରେ |""]"
"TReDS ରେ ଅଂଶଗ୍ରହଣକାରୀ କିଏ?","[""<p>ବିକ୍ରେତା, କ୍ରେତା ଏବଂ ଅର୍ଥଦାତା ଏକ TReDS ପ୍ଲାଟଫର୍ମରେ ଅଂଶଗ୍ରହଣକାରୀ |</p>""]"
"PPI ଅଧୀନରେ MTSS ପାଇଁ କାରବାର ସୀମା କ’ଣ?","[""<p>ହିତାଧିକାରୀମାନଙ୍କୁ ଜାରି କରାୟାଇଥିବା PPIsରେ ବ୍ୟକ୍ତିଗତ ଆଭ୍ୟନ୍ତରୀଣ ଏମଟିଏସଏସ ରେମିଟେନ୍ସରୁ 50,000/- ଟଙ୍କା ପର୍ୟ୍ୟନ୍ତ ରାଶି ଲୋଡ କିମ୍ବା ରିଲୋଡ୍ କରିବା ପାଇଁ ଅନୁମତି ଦିଆୟାଇଛି। 50 ହଜାର ଟଙ୍କାରୁ ଅଧିକ କୌଣସି ଏକକ ନେଣଦେଣ ରାଶି ବ୍ୟାଙ୍କ ଖାତାକୁ କ୍ରେଡିଟ୍ ମାଧ୍ୟମରେ ପ୍ରଦାନ କରାୟିବ।</p>""]"
